sentence,attribute,entity,entity_offset,attribute_value,attribute_value_offset
姓　名：李光敬  性　别：男  民　族：汉族  籍　贯：河南新县  出生年月：1890年  牺牲日期：1932年2月  出生于贫苦渔民家庭，全家靠打鱼维持生活,民族,李光敬,4,汉族,20
徐刚，男，汉族，1960年10月生，浙江东阳人，现任浙江省第一地质大队大队长、党委书记，拟任浙江省地质勘查局副局长、党委委员,民族,徐刚,0,汉族,5
王觌隋代大臣字景文,字,王觌,0,景文,7
——《将进酒·君不见》节选 李白李白，字太白，号青莲居士，唐代著名诗人，祖籍陇西成纪（今甘肃秦安东）,字,李白,14,太白,20
甘茂去世时，甘罗年仅十二岁，事奉秦国相国、文信侯吕不韦2，担任少庶子之职,朝代,甘罗,6,秦国,16
陈先运，男，汉族，1962年9月生，山东成武人，1984年6月加入中国共产党，1983年7月参加工作，北京交通大学产业经济学专业毕业，经济学博士,民族,陈先运,0,汉族,6
民族花儿德西拉姆在突围赛最后一场被淘汰，让许多歌迷扼腕叹息，这个面容姣好、五官立体、个子高挑的藏族美女声音高亢，舞台爆发力超强，有点“人来疯”的感觉，只要音乐一响起，她就能点燃全场，舞台爆发力颇受评委和粉丝的肯定,民族,德西拉姆,4,藏族,47
《清明时节》导演欧阳予倩，由黎明辉、英茵、赵丹、舒秀文、谢俊、等主演的一部香港爱情剧，于1936年上映,上映时间,清明时节,1,1936年,44
韩玉海1，男，汉族，1962年7月出生，甘肃陇西人，1984年11月参加工作，1986年4月加入中国共产党，甘肃省委党校大学学历,民族,韩玉海,0,汉族,7
生平简介陈执中（990-1059），字昭誉，名相陈恕之子，北宋洪州南昌（今属江西）人,字,陈执中,4,昭誉,19
生平简介陈执中（990-1059），字昭誉，名相陈恕之子，北宋洪州南昌（今属江西）人,朝代,陈执中,4,北宋,29
李仲寓（958年—996年），字叔章1，南唐后主李煜与国后周娥皇之长子（太子），南唐国亡后，宋授右千牛卫大将军,朝代,周娥皇,29,南唐,20
顾万春研究员，男，汉族，1941年10月出生于江苏阜宁，毕业于南京林业大学,民族,于江,22,汉族,9
而三国中的美女也是众多数不胜数，比如貂蝉、大乔小乔等等，这些都可以说是那一时期的美人了,朝代,大乔小乔,21,三国,1
林华旦，男，藏族，1963年10月出生，青海平安人，曾任天津市滨海新区人民政府副区长,民族,林华旦,0,藏族,6
作品X特遣队2演艺经历2016年，福原凯伦出演《自杀小队》中的武士刀一角3,上映时间,自杀小队,24,2016年,11
《火鸟》是韩国MBC电视台于2004年4月至6月播出的月火剧，由吴京勋执导、李有珍编剧，李瑞镇、李恩珠、文晸赫主演,上映时间,火鸟,1,2004年4月,14
北宋淳化四年（993）二月，宋太宗赵光义为展现京城开封的祥和气氛和自己的仁君形象，故下诏赐给京城年事已高者御寒衣物，百岁老人则另外加赐涂金带,朝代,赵光义,17,北宋,0
塞波，英文名Sebo，生于1984-02-24，布拉迪斯拉发（斯洛伐克），足球前锋，合同到期：2011-06-30，身高180厘米，体重77公斤，惯用右脚，国籍：斯洛伐克,身高,塞波,0,180厘米,60
牟金栋，男，汉族，中共党员，1963年出生，广西自治区桂林公路管理局党委副书记,民族,牟金栋,0,汉族,6
感天大帝许逊，字敬之，晋代著名道士，南昌县（今属江西）长定乡益塘坡人，道教净明道、闾山派尊奉的祖师，许逊于晋太康元年（280年）出任旌阳（今属四川）令，人称许九郎、许旌阳、旌阳祖师、感天大帝，又称许天师、许真君，道教四大仙师之一,字,感天大帝,0,敬之,8
丹尼斯·奥利希： 肯尼亚人，1985年2月2日出生在肯尼亚内罗毕，身高180CM,身高,丹尼斯·奥利希,0,180CM,35
个人资料姓名：宋博轩出生日期：1989年9月16日籍贯：天津市体重：70公斤身高：180CM位置：边路职业履历：2007年2009年：天津火车头2010年2013年：上海申花2014年2017年：北京国安天津权健足球俱乐部有限责任公司2018年2月26日文俊杰近日，天津权健足球俱乐部与中国球员文俊杰完成签约工作,身高,宋博轩,7,180CM,41
《Love Again》是韩国JTBC自2012年4月25日起播出的水木迷你连续剧，翻拍自2010年日剧《同窗会~Love Again症候群》，同样以曾为同学的男女主角们于30年后的同学会再次相遇引发的恋爱故事，但剧情上稍有不同,上映时间,Love Again,1,2012年4月25日,20
目论人物概述昭阳将军为楚国令尹、上柱国（战国时楚国所设官名，原为保卫国都之官,朝代,昭阳,6,战国,20
个人资料姓名：大谷尚辉  英文名: Naoki Otani  生日: 1995-09-24  惯用脚: 右脚  身高: 182cm  体重: 72kg个人简介大谷尚辉，日本足球运动员，现在效力于广岛三箭足球俱乐部,身高,大谷尚辉,7,182cm,60
7获奖记录时间奖项名获奖人2012-12-20　　国剧盛典“2012年度十佳电视剧”大奖8青盲　　播出信息2012年3月1号起，晚间7:30浙江、江西、天津、安徽等四家卫视上星播出：9,上映时间,青盲,45,2012年3月,53
王海华，男，1987出生于江西遂川泉江，汉族，中国共产党党员，大学本科学历，2008年大学毕业,民族,于江,12,汉族,20
某年夏天（原名：君といた夏）是1994年7月4日－9月19日于日本富士电视台播放的电视连续剧,上映时间,某年夏天,0,1994年7月4日,15
陈明信 男，汉族，1933年生，渝北区人，中共党员，中专学历，曾为重庆日报社主任记者、科教部主任、编委,民族,陈明信,0,汉族,6
姓名：拉顿奇奇  性别：男  血型：B  国籍：黑山  生日：1983-8-2  身高：192Cm  体重：89Kg  位置：前锋  俱乐部：仁川联队  俱乐部号码：50号,身高,拉顿奇奇,3,192Cm,44
霍去病霍去病西汉名将、军事家、名将卫青的外甥，官至大司马、骠骑将军,朝代,卫青,17,西汉,6
"简介高泽强（昂·德威·宏韬），黎族，1963年10月2日生,海南省乐东黎族自治县人",民族,高泽强,2,黎族,15
2014年10月1日许鞍华执导的电影《黄金时代》上映，冯绍峰饰演与之差别极大的民国东北爷们萧军，演技受到肯定,上映时间,黄金时代,19,2014年,0
2014年10月1日许鞍华执导的电影《黄金时代》上映，冯绍峰饰演与之差别极大的民国东北爷们萧军，演技受到肯定,上映时间,黄金时代,19,2014年10月1日,0
《天使的一份》是肯·罗奇执导，保罗·布兰尼根、约翰·亨肖、西尔婉·莱利等主演的喜剧电影，于2012年6月1日在英国上映,上映时间,天使的一份,1,2012年6月1日,45
2000年的《女子特警队》凭借真实二字，赢得了高达13.7%的收视率，成为现象级力作,上映时间,女子特警队,7,2000年,0
元代修《宋史》，特立《道学传》崇程朱，又依南宋《国史》立《奸臣传》，不列入史弥远，反而将韩侂胄与秦桧并列，辱骂他是“奸恶”，完全颠倒了历史的是非,朝代,韩侂胄,44,南宋,21
《挡不住的爱》（又名新贵公子），是2000年韩国MBC电视台放送的16集爱情喜剧,上映时间,挡不住的爱,1,2000年,17
李白(七O一——七六二年)，字太白，出生在中亚细亚的碎叶城(今巴尔喀什湖以南的楚河流域)，幼年随父迁四川，走遍了大半个中国,字,李白,0,太白,15
李曙亮，男，汉族，1975年生于河南洛阳,民族,李曙亮,0,汉族,6
孟表（435—515），字武达，济北蛇丘人也,字,孟表,0,武达,13
《最后一个男人》是由菲尔·罗德执导的电视剧，威尔·福特等参加演出，于2015年3月1日在美国上映，讲述了在未来的某一天，地球上除了Phil Miller，没有了别人的故事,上映时间,最后一个男人,1,2015年3月1日,34
蓝润（生卒年不详），字海重，号凫渚，即墨人,字,蓝润,0,海重,11
《中国女孩》，由明道工作室和杨幂工作室共同承制，并一起打造出《Gossip Girl》的美国华纳公司联盟制作，明道工作室总经理李诗翔担任制片人，杨幂担任该片的制作人，剧组将通过海选选三名新人担任最重要的男女主演,创始人,明道工作室,8,明道,8
"球员:奥迪加生日:1974年3月4日身高:170cm体重:64kg加盟日期:2011球衣号码:37国籍:阿根廷效力球队:全男孩竞技场上位置:前锋前度效力球队:河床曾经效力球队:河床,门多萨独立[租借],纽维尔老男孩,费内巴切,帕尔玛,桑普多利亚,瓦伦西亚",身高,奥迪加,3,170cm,21
李及，字幼几，新郑县人,字,李及,0,幼几,4
《恶女阿楚》是由张哲书执导，柯志远编剧，王少伟、曾之乔、卓文萱、陈奕主演的一部偶像剧，于2007年8月17日在台湾华视首播,上映时间,恶女阿楚,1,2007年8月17日,44
徐昭国，男，1967年10月出生，汉族，江西都昌人，1984年9月参加工作，1990年4月入党，省委党校大学学历,民族,徐昭国,0,汉族,17
2017年5月5日，由云端传媒出品，陈苒凌、曹放担任出品人，肖美玲、李晓伟监制，魏童声任制片，仇星编剧，何佳男执导的同名网剧《假凤虚凰》将在爱奇艺独家上线,上映时间,假凤虚凰,63,2017年5月5日,0
沈成秀，女，1962年11月生，布依族，省委党校大学学历,民族,沈成秀,0,布依族,16
徐易容于2009年11月创立美丽说，是目前国内最大的社区型女性时尚媒体，致力于中国女性长期高速增长的美丽需求,创始人,美丽说,14,徐易容,0
党康1，男，汉族，1989年出生陕西汉中，功夫导师，养生专家，毕业河南嵩山少林寺,民族,党康,0,汉族,6
宋军民，男，汉族，42岁，共产党员，大专学历，现任蓝田县汤峪镇塘子村党支部书记、村委会主任,民族,宋军民,0,汉族,6
宋军民，男，汉族，42岁，共产党员，大专学历，现任蓝田县汤峪镇塘子村党支部书记、村委会主任,民族,蓝田,25,汉族,6
民国16年（1927年）程泽润投靠蒋介石，通过何应钦，任军政部军务司中将司长、广州行辕后勤部参谋长等职,朝代,程泽润,12,民国,0
陶百坤1 ，男，汉族，1963年7月出生，浙江上虞人，1987年11月加入中国共产党，1983年8月参加工作，中央党校大学学历,民族,陶百坤,0,汉族,8
杨缨，字绵公，号钓溪，松溪县人，祖籍将乐，是北宋理学家杨时的七世孙,朝代,杨缨,0,北宋,22
杨缨，字绵公，号钓溪，松溪县人，祖籍将乐，是北宋理学家杨时的七世孙,朝代,杨时,27,北宋,22
收视率调查公司AGB Nilsson Media Research的统计显示，于2006年4月5日播出的《流氓医生》收视率为11,上映时间,流氓医生,53,2006年4月5日,40
当时，史可法移军驻泗州，保护明朝祖陵31,朝代,史可法,3,明朝,14
Uber在2009年，由加利福尼亚大学洛杉矶分校辍学生特拉维斯·卡兰尼克和好友加雷特·坎普创立,创始人,Uber,0,特拉维斯·卡兰尼克,27
柯彦，男，中国，汉族，1973年8月22日出生于黑龙江,民族,柯彦,0,汉族,8
耶律浚12（1058年－1077年），又名耶律濬，乳名耶鲁斡，契丹族，辽国宗室，辽道宗耶律洪基长子，母为宣懿皇后萧观音,民族,耶律洪基,43,契丹族,31
耶律浚12（1058年－1077年），又名耶律濬，乳名耶鲁斡，契丹族，辽国宗室，辽道宗耶律洪基长子，母为宣懿皇后萧观音,民族,萧观音,56,契丹族,31
耶律浚12（1058年－1077年），又名耶律濬，乳名耶鲁斡，契丹族，辽国宗室，辽道宗耶律洪基长子，母为宣懿皇后萧观音,民族,耶律浚,0,契丹族,31
辛德里，男，生于1993年1月9日，是一名足球运动员，惯用右脚，身高177厘米,身高,辛德里,0,177厘米,34
阿兰·奥布赖恩出生于爱尔兰，身高178cm，司职前卫，在场上作风硬朗，防守能力出色，现在斯温登队效力,身高,阿兰·奥布赖恩,0,178cm,16
唐寅(1470—1523)，字伯虎，一字子畏，号六如居士、桃花庵主、鲁国唐生、逃禅仙吏等，据传于明宪宗成化六年庚寅年寅月寅日寅时生，故名唐寅,字,唐寅,0,子畏,20
唐寅(1470—1523)，字伯虎，一字子畏，号六如居士、桃花庵主、鲁国唐生、逃禅仙吏等，据传于明宪宗成化六年庚寅年寅月寅日寅时生，故名唐寅,字,唐寅,0,伯虎,15
个人资料  姓名：越智大和  英文名: Yamato Ochi  生日: 1995-05-12  场上位置: 前锋  用脚: 右脚  身高: 171cm  体重: 62kg  国籍: 日本,身高,越智大和,9,171cm,71
三国时期，魏文帝曹丕甚至说，周成王统治期间社会安定、百姓安居乐业，而相形之下，汉昭帝则昏庸无能使江山凋敝，原因何在,朝代,曹丕,8,三国,0
司马臧（297年－301年），字敬文,字,司马臧,0,敬文,16
颜世民，男，汉族，大专文化,民族,颜世民,0,汉族,6
黄威于1993年出生，身高189cm，云南昆明人，场上位置中后卫,身高,黄威,0,189cm,13
刘扬，汉族，1975年出生，山东济南人，致公党党员，山东师范大学美术系毕业，研修于中国艺术研究院、清华美院研究生班，现山东艺术学院艺术硕士在读,民族,刘扬,0,汉族,3
吴柳霞，女，壮族，1980年10月生（28岁），2003年4月加入中国共产党，1999年10月参加工作，广西大学农业推广专业毕业，在职大专学历,民族,吴柳霞,0,壮族,6
毛芝红，女，1974年6月出生，汉族，浙江江山人,民族,江山,21,汉,16
毛芝红，女，1974年6月出生，汉族，浙江江山人,民族,江山,21,汉族,16
毛芝红，女，1974年6月出生，汉族，浙江江山人,民族,毛芝红,0,汉族,16
糜桂英，女，苗族，是湘西自治州优秀教师,民族,糜桂英,0,苗族,6
演员表进球简介《情牵南洋》是ntv7 2010年重头本地制作电视剧，斥资逾300万令吉为大马电视观众打造一部充满30至70年代怀旧色彩的长篇电视剧,上映时间,情牵南洋,8,2010年,19
李勣[lǐ jì]李勣（594年—669年12月31日），原名徐世勣、李世勣，字懋功，曹州离狐（今山东菏泽市东明县）人,字,李勣,0,懋功,40
《请你原谅我》是一部由陈宝国执导，陈宝国、秦文旭、王乙竹和郑卫莉主演的电视剧，于1997年上映,上映时间,请你原谅我,1,1997年,40
发展历史威伯科于1869年在美国成立，时称“Westinghouse Air Brake Company”(威斯汀豪斯气闸公司)，威伯科的创始人为乔治·威斯汀豪斯（George Westinghouse），并于1968年被美国标准公司收购，在2007年上市,创始人,威伯科,4,乔治·威斯汀豪斯,73
赵充国（前137年—前52年），字翁孙，原为陇西上邽（今甘肃天水）人，后移居湟中（今青海西宁地区）,字,赵充国,0,翁孙,17
胡适在其《白话文学史》﹙1928年新月书店出版﹚中将寒山、王梵志、王绩三人并列为唐代的三位白话大诗人,朝代,寒山,26,唐代,40
"李威霆:原名萧春雷生日,12月1日,身高1.77米,出生地广西南宁",身高,李威霆,0,1.77米,20
张成杰，男，汉族，1953年6月出生，河北曲阳人,民族,张成杰,0,汉族,6
李文涛，男，汉族，中共党员，大专文化，1969年1月出生，江西兴国县鼎龙乡人,民族,李文涛,0,汉族,6
简介吉百利(Cadbury)创立于1824年，是英国伯明翰老牌糖果制造商，是英国历史最悠久的巧克力品牌之一，也是英国最大的巧克力生产商，更是目前全球最大的糖果公司、第二大口香糖公司、第三大软饮料公司，也是唯一一家同时拥有巧克力、糖果及口香糖产品的公司,创始人,吉百利,2,Cadbury,6
皮德尔斯（英文名：Piedels），出生于1970-09-17，场上位置门将，身高193厘米，体重89公斤，惯用右脚，出生地：未知（拉脱维亚），国籍拉脱维亚,身高,皮德尔斯,0,193厘米,41
（图说三国·谈天说地·第140期 文/无常奉天玉）三国时期，曹魏名将曹真，能力卓越且战功赫赫，是曹魏后期的顶梁柱之一，他的儿子曹爽，却是一个彻头彻尾的草包，先是骄奢淫逸，祸乱朝纲,朝代,曹爽,63,三国,3
成武帝李雄（274年―334年），字仲俊，李特第三子，母罗氏，十六国时期成汉开国皇帝，304年―334年在位,朝代,李雄,3,成汉,36
成武帝李雄（274年―334年），字仲俊，李特第三子，母罗氏，十六国时期成汉开国皇帝，304年―334年在位,民族,李雄,3,汉,37
孙全立 ，男，汉族，1936年3月出生于莱阳市柏林庄镇桑家夼村,民族,孙全立,0,汉族,7
商纣，帝辛，商朝最后一位君主，《荀子》中提到帝辛“长巨姣美，天下之杰也,朝代,帝辛,3,商朝,6
原标题：俞敏洪：新东方暂未考虑回A股上市证券时报网（www.stcn.com）03月03日讯据上海证券报报道，对于新东方是否愿意回归A股上市的问题，全国政协委员、新东方教育科技集团董事长兼首席执行官俞敏洪3日在人民大会堂东广场接受采访时表示：“新东方暂未考虑回A股上市,创始人,新东方,8,俞敏洪,4
信息靳广宇，男，35岁，身高1米70，湖北口音，户籍地武汉市洪山区雄楚大道199-273号5号,身高,靳广宇,2,1米70,14
巩长青1 男，出生于1967年2月，汉族，陕西略阳人，大学本科学历，中共党员,民族,巩长青,0,汉族,18
鲁本·卡斯特罗是一名突前前锋，身高174cm，体重72kg,身高,卡斯特罗,3,174,17
李文新，汉族，湖北工业大学教授,民族,李文新,0,汉,4
司马懿，字仲达，河南温县人,字,司马懿,0,仲达,5
‖百味中原文‖贾凤翔唐朝第十代皇帝德宗李适一生最纠结的事是老婆闹“离婚”,朝代,李适,19,唐朝,10
张学武，男，汉族，1956年5月出生，宁夏石嘴山人，1977年10月参加工作，1975年3月加入中国共产党，中央党校在职研究生班法学理论专业毕业，中央党校研究生学历,民族,张学武,0,汉族,6
《怪物史瑞克3》（Shrek the Third）是梦工厂动画制作的《怪物史瑞克》系列动画电影第三部，由克里斯·米勒、许诚毅联袂执导，麦克·梅尔斯、卡梅隆·迪亚茨、艾迪·墨菲主演配音，于2007年5月18日美国上映,上映时间,怪物史瑞克3,1,2007年5月18日,93
《饮食男女》已于2016年2月正式登陆各大地面频道，同年5月《饮食男女》第101-200集开拍,上映时间,饮食男女,1,2016年2月,8
《亲热》是香港歌手钟汉良演唱的歌曲，由李安修填词，谭国政编曲，陈迪匡作曲，收录于钟汉良第五张个人专辑《亲热》中,民族,李安,19,汉,10
韩沙霖，女，汉族，声乐表演艺术大师文凭、声乐教育硕士学位毕业于德国汉堡国立音乐与表演艺术高等学院，师从著名女低音歌唱家汉堡音乐学院教授TuulaNienstedt女士,民族,韩沙霖,0,汉族,6
邢宏锋，男，汉族，1966年10月生，陕西周至人,民族,邢宏锋,0,汉族,6
韦云祥，男，壮族，1974年12月生，2008年8月至今任富宁县总工会党组书记、常务副主席,民族,韦云祥,0,壮族,6
"米格尔·阿方索·埃雷罗，外文名：Miguel Alfonso Herrero，西班牙人，1988年7月29日出生布哈索特（西班牙），身高180cm,体重73kg",身高,米格尔·阿方索·埃雷罗,0,180cm,68
人物经历林诗良，男，1955年3月出生，汉族，海南定安人，大专学历，1972年9月参加工作，1983年11月加入中国共产党,民族,林诗良,4,汉族,20
《苍狼白鹿》是著名蒙古族歌唱家、1新一代蒙古歌王齐峰演唱的一首单曲，收录在2008年发行的齐峰第二张个人专辑《浪漫草原》中,民族,齐峰,24,蒙古族,9
姓名：巴蒂昂国籍阿根廷粤语名－－出生日期1982-01-03出生地点阿根廷圣塔菲身高188.0CM体重83.0KG场上位置中场现效力球队班菲特球衣号码28号,身高,巴蒂昂,3,188.0CM,42
熊靖和，男，汉族，1970出生于安徽省铜陵县安平乡（现为胥坝乡）,民族,于安,15,汉族,6
熊靖和，男，汉族，1970出生于安徽省铜陵县安平乡（现为胥坝乡）,民族,熊靖和,0,汉族,6
杨永宝，汉族，出生于1946年12月，北京通州人，高级教师,民族,杨永宝,0,汉族,4
郑余良，男，汉族，1965年8月生，浙江兰溪人，1986年5月加入中国共产党，1984年8月参加工作，中央党校大学学历,民族,郑余良,0,汉族,6
陈立民，男，汉族，1956年生于江西省玉山县,民族,陈立民,0,汉,6
扶苏是秦始皇的儿子，在秦朝的时候，如果是皇上的儿子就要叫他们公子，而秦始皇有两个儿子，一个是扶苏，一个是胡亥，而他的大儿子当然是叫公子扶苏了，他是一个勤政爱民的好公子，但是秦始皇却并不怎么重用他，因为秦始皇讲究的是暴政是一个暴君，而他的儿子扶苏却和他相反,朝代,胡亥,52,秦朝,11
扶苏是秦始皇的儿子，在秦朝的时候，如果是皇上的儿子就要叫他们公子，而秦始皇有两个儿子，一个是扶苏，一个是胡亥，而他的大儿子当然是叫公子扶苏了，他是一个勤政爱民的好公子，但是秦始皇却并不怎么重用他，因为秦始皇讲究的是暴政是一个暴君，而他的儿子扶苏却和他相反,朝代,扶苏,0,秦朝,11
桂江智，男，汉族，1977年8月出生，湖南祁阳人，精河县审计局干部,民族,桂江智,0,汉族,6
马雄，男，回族，1982年7月生，昭阳区人，大学学历，2003年12月参加工作，2009年7月加入中国共产党，现任昭阳区守望回族乡党政办科员,民族,马雄,0,回族,5
宋英华，女，汉族，1964年3月出生，中共党员，经济学硕士，现为哈尔滨商业大学财政与公共管理学院副教授,民族,宋英华,0,汉族,6
冯仁亮，天津市人，出生于1988年5月12日，身高178厘米，体重68公斤,身高,冯仁亮,0,178厘米,25
埃克托·劳尔·库珀，1955-11-16出生，阿根廷人，身高179厘米,身高,埃克托·劳尔·库珀,0,179厘米,30
涂英建，男，汉族，1975年3月出生，浙江武义人，中共党员，1997年8月参加工作，大学学历，现任武义县纪委办公室主任,民族,涂英建,0,汉族,6
《选票风波》是由杰伊·罗奇指导，凯文·史派西、约翰·赫特等主演的剧情片，于2008年5月13日在美国上映,上映时间,选票风波,1,2008年5月13日,37
2008年，宋汶霏主演海岩剧《舞者》，凭借《舞者》获得2008年度《新周刊》2008电视榜“最深入人心的电视形象奖”和新浪网络盛典“年度新人奖”，是她的成名之作,上映时间,舞者,15,2008年,0
北魏孝昌年间（525年—528年），天下战乱，赵贵带领乡人南迁避难,朝代,赵贵,23,北魏,0
陈文龙，男，汉族，福建省漳平市人，1973年3月生，1991年8月参加工作，1993年4月加入中国共产党，在职大学学历，现任永定县人民政府党组成员、副县长,民族,陈文龙,0,汉族,6
个人简介姓名：洛伊奇·内戈  生日：1991-01-15  身高：179厘米  体重：64公斤  惯用脚：右脚  出生地：巴黎(法国)  代表国家队：出场0次，进0球  欧洲三大杯：出场0次，进0球  欧洲冠军联赛：出场0次，进0球职业生涯,身高,洛伊奇·内戈,7,179厘米,33
米莉·艾维依陀尔（Mili Avital）1972年3月30日出生于以色列耶路撒冷，身高164cm,身高,米莉·艾维依陀尔,0,164cm,44
李雯，男，汉族，1963年4月生，辽宁营口人，1993年5月加入中国共产党，1982年3月参加工作，中央党校大学学历,民族,李雯,0,汉族,5
”现在，毫无疑问，她胜了，2008年，她以8000万续约金成为“华谊一姐”，以直逼章子怡的身价代言万宝龙、奔驰等一线品牌，成为国内首屈一指的广告吸金女王，而《功夫之王》里惊艳的白发造型，更让她成为全片的亮点，一部戏，为她铺开了走向好莱坞的星光大道,上映时间,功夫之王,79,2008年,13
人物简介吴泉国，男，1957年11月生，汉族，上海市人，中共党员，1981年9月参加工作，在职研究生，工商管理硕士，经济师,民族,吴泉国,4,汉族,20
杰雷米·哈尔，美国人，出生于坦帕，足球运动员，是一个中场，球衣号为17号，现在效力与纽约红牛,民族,杰雷米·哈尔,0,美国,7
陈爱莉，女，汉族，1956年1月生，枣庄市中人,民族,陈爱莉,0,汉族,6
刘举义，汉族，任廊坊市住房公积金中心党组成员、副主任,民族,刘举义,0,汉族,4
个人简介  邓富强，男，汉族，云南昭阳人，1966年6月出生，大学学历，1988年8月参加工作，中共党员,民族,邓富强,6,汉族,12
曾惠兰，女，1980年1月生，汉族，昭平县人,民族,曾惠兰,0,汉族,15
但是李世民有功德就可以得到仙人们的尊重，取经也是为了救苦救难，所以说可能上苍也不敢胡来，在唐朝内部就找唐僧的麻烦，也太不把唐朝皇帝当一回事了吧,朝代,李世民,2,唐朝,45
王大雷外文名D L Wang国籍中国民族汉族出生地辽宁大连出生日期1989年1月10日毕业院校大连东北路小学 身高185cm体重75kg运动项目足球所属运动队山东鲁能技术特点守门员主要奖项2004年最佳运动员2014年度中超联赛最佳守门员（图片来自东方IC）王大雷，1995年9月1日进入大连著名的足球小学东北路小学就读,民族,王大雷,0,汉,20
王大雷外文名D L Wang国籍中国民族汉族出生地辽宁大连出生日期1989年1月10日毕业院校大连东北路小学 身高185cm体重75kg运动项目足球所属运动队山东鲁能技术特点守门员主要奖项2004年最佳运动员2014年度中超联赛最佳守门员（图片来自东方IC）王大雷，1995年9月1日进入大连著名的足球小学东北路小学就读,身高,王大雷,0,185cm,57
王大雷外文名D L Wang国籍中国民族汉族出生地辽宁大连出生日期1989年1月10日毕业院校大连东北路小学 身高185cm体重75kg运动项目足球所属运动队山东鲁能技术特点守门员主要奖项2004年最佳运动员2014年度中超联赛最佳守门员（图片来自东方IC）王大雷，1995年9月1日进入大连著名的足球小学东北路小学就读,民族,王大雷,0,汉族,20
刘书才，男，1956年11月生，河北省永清县人，汉族，中共党员,民族,刘书才,0,汉族,24
